code,name,sector,market,lo,hi,c0,c1,gain_lh,gain_cc,date_lo,date_hi,vol_ratio,bars
3498,霞ヶ関キャピタル,不動産,プライム,871.3,10880.0,1217.5,6340.0,1148.7,420.7,2021-07-09,2025-10-06,3.18,1225
7318,セレンディップ・ホールディングス,自動車・輸送機,グロース,163.8,2012.0,344.0,1945.0,1128.3,465.4,2022-06-20,2026-04-08,1.43,1172
5805,ＳＷＣＣ,鉄鋼・非鉄,プライム,1464.0,17900.0,1726.0,14080.0,1122.7,715.8,2021-05-13,2026-03-03,2.1,1225
7936,アシックス,情報通信・サービスその他,プライム,408.8,4964.0,446.3,4408.0,1114.3,887.7,2021-04-21,2026-02-20,0.99,1225
2585,ライフドリンク　カンパニー,食品,プライム,251.5,3015.0,301.5,1613.0,1098.8,435.0,2022-01-25,2025-08-20,3.16,1051
6507,シンフォニアテクノロジー,電機・精密,プライム,1120.0,13350.0,1341.0,12940.0,1092.0,865.0,2021-08-20,2026-03-02,2.75,1225
1980,ダイダン,建設・資材,プライム,313.0,3680.0,474.7,2884.0,1075.7,507.5,2022-05-19,2026-02-27,4.89,1225
6632,ＪＶＣケンウッド,電機・精密,プライム,158.0,1832.0,229.0,1241.5,1059.5,442.1,2022-03-09,2025-01-30,0.47,1225
6871,日本マイクロニクス,電機・精密,プライム,1169.0,13290.0,1876.0,12190.0,1036.9,549.8,2022-10-03,2026-02-25,3.87,1225
1965,テクノ菱和,建設・資材,スタンダード,822.0,9340.0,887.0,7010.0,1036.3,690.3,2022-05-12,2026-02-10,16.35,1225
7972,イトーキ,情報通信・サービスその他,プライム,327.0,3695.0,408.0,3460.0,1030.0,748.0,2022-01-27,2026-03-02,2.33,1225
6772,東京コスモス電機,電機・精密,スタンダード,168.4,1890.0,190.6,1266.0,1022.3,564.2,2021-05-18,2025-07-03,0.26,1225
6814,古野電気,電機・精密,プライム,897.0,10020.0,1112.0,6790.0,1017.1,510.6,2023-01-19,2025-10-28,6.44,1225
7184,富山第一銀行,銀行,プライム,265.0,2899.0,302.0,2611.0,994.0,764.6,2021-12-02,2026-02-12,2.01,1225
7760,ＩＭＶ,電機・精密,スタンダード,395.0,4255.0,500.0,3270.0,977.2,554.0,2022-10-13,2026-03-03,1.06,1225
9107,川崎汽船,運輸・物流,プライム,280.2,2964.5,286.1,2657.5,958.0,828.9,2021-04-06,2026-03-18,0.12,1225
7721,東京計器,電機・精密,プライム,913.0,9540.0,935.0,7600.0,944.9,712.8,2021-04-08,2026-03-02,4.22,1225
3205,ダイドーリミテッド,素材・化学,スタンダード,133.0,1386.0,185.0,708.0,942.1,282.7,2022-07-01,2026-01-23,8.58,1225
7173,東京きらぼしフィナンシャルグループ,銀行,プライム,1189.0,12360.0,1337.0,12190.0,939.5,811.7,2021-04-30,2026-04-09,0.95,1225
5985,サンコール,建設・資材,スタンダード,237.0,2415.0,467.0,1451.0,919.0,210.7,2025-01-17,2026-03-12,13.73,1225
2216,カンロ,食品,スタンダード,242.5,2470.0,247.0,1218.0,918.6,393.1,2021-08-16,2025-09-26,7.23,1225
3997,トレードワークス,情報通信・サービスその他,スタンダード,64.0,650.0,104.7,386.0,915.6,268.7,2024-08-06,2026-02-16,2.41,1225
2323,ｆｏｎｆｕｎ,情報通信・サービスその他,スタンダード,46.7,473.0,88.8,344.0,912.8,287.4,2022-03-14,2026-01-30,2.42,1225
8337,千葉興業銀行,銀行,プライム,243.0,2454.0,293.0,2185.0,909.9,645.7,2021-12-01,2026-02-27,1.29,1225
7012,川崎重工業,自動車・輸送機,プライム,377.6,3766.0,524.6,3317.0,897.4,532.3,2021-12-02,2026-03-03,4.75,1225
6469,放電精密加工研究所,機械,スタンダード,527.0,5090.0,750.0,3240.0,865.8,332.0,2023-12-27,2026-02-19,4.64,1225
4894,クオリプス,医薬品,グロース,1287.0,12400.0,1312.0,7170.0,863.5,446.5,2023-06-27,2026-02-19,0.35,681
2970,ＧＬＣ　ＧＲＯＵＰ,不動産,スタンダード,134.3,1274.0,238.3,1172.0,848.6,391.8,2022-02-18,2026-02-17,1.5,1225
6627,テラプローブ,電機・精密,スタンダード,1152.0,10890.0,1236.0,9550.0,845.3,672.7,2021-05-13,2026-02-13,0.59,1225
1909,日本ドライケミカル,機械,スタンダード,350.0,3305.0,415.8,2830.0,844.3,580.6,2022-10-28,2026-03-03,3.25,1225
5285,ヤマックス,建設・資材,スタンダード,242.5,2280.0,249.5,1604.0,840.2,542.9,2021-04-23,2025-09-08,4.73,1225
2986,ＬＡホールディングス,不動産,グロース,1272.0,11870.0,1470.0,9140.0,833.2,521.8,2021-04-30,2026-02-13,1.62,1225
1948,弘電社,建設・資材,スタンダード,770.0,7150.0,1014.0,6610.0,828.6,551.9,2022-12-01,2026-01-22,10.97,1225
6315,ＴＯＷＡ,機械,プライム,525.3,4853.3,772.3,2528.0,823.9,227.3,2022-10-03,2024-05-23,2.61,1225
2983,アールプランナー,不動産,グロース,261.4,2400.0,357.5,1636.0,818.1,357.6,2021-05-18,2026-02-16,0.32,1225
1515,日鉄鉱業,エネルギー資源,プライム,496.5,4535.0,661.0,2683.0,813.4,305.9,2022-07-07,2026-02-13,1.83,1225
2813,和弘食品,食品,スタンダード,829.3,7570.0,841.3,3895.0,812.8,363.0,2021-04-16,2024-06-26,4.76,1225
8341,七十七銀行,銀行,プライム,375.0,3419.0,502.7,3384.0,811.7,573.2,2021-07-09,2026-04-09,1.07,1225
