date,open,high,low,close,volume
2025-03-04,104.0,104.0,102.0,104.0,77500.0
2025-03-05,104.0,104.0,102.0,104.0,27700.0
2025-03-06,104.0,105.0,103.0,103.0,28000.0
2025-03-07,103.0,103.0,102.0,103.0,55000.0
2025-03-10,104.0,104.0,103.0,104.0,35900.0
2025-03-11,103.0,104.0,103.0,104.0,26900.0
2025-03-12,103.0,104.0,101.0,103.0,129600.0
2025-03-13,102.0,103.0,101.0,103.0,67500.0
2025-03-14,103.0,103.0,99.0,100.0,327400.0
2025-03-17,101.0,101.0,100.0,100.0,56000.0
2025-03-18,100.0,101.0,98.0,98.0,297100.0
2025-03-19,98.0,100.0,97.0,97.0,295100.0
2025-03-21,97.0,98.0,97.0,97.0,71000.0
2025-03-24,98.0,102.0,94.0,94.0,920100.0
2025-03-25,96.0,96.0,94.0,94.0,155500.0
2025-03-26,95.0,96.0,94.0,94.0,280400.0
2025-03-27,95.0,96.0,93.0,93.0,269700.0
2025-03-28,89.0,90.0,86.0,86.0,436400.0
2025-03-31,86.0,96.0,80.0,83.0,1445500.0
2025-04-01,85.0,89.0,82.0,87.0,457700.0
2025-04-02,87.0,117.0,85.0,86.0,5839300.0
2025-04-03,84.0,85.0,84.0,85.0,298700.0
2025-04-04,83.0,86.0,82.0,85.0,288200.0
2025-04-07,81.0,87.0,76.0,87.0,547500.0
2025-04-08,87.0,89.0,87.0,89.0,159200.0
2025-04-09,89.0,90.0,84.0,87.0,248600.0
2025-04-10,90.0,91.0,88.0,89.0,95500.0
2025-04-11,89.0,94.0,89.0,93.0,183100.0
2025-04-14,93.0,102.0,91.0,97.0,1668600.0
2025-04-15,101.0,125.0,89.0,93.0,12256100.0
2025-04-16,93.0,101.0,86.0,87.0,2461500.0
2025-04-17,87.0,93.0,86.0,87.0,1418100.0
2025-04-18,88.0,88.0,85.0,87.0,318100.0
2025-04-21,87.0,94.0,83.0,88.0,3069600.0
2025-04-22,86.0,91.0,86.0,88.0,741300.0
2025-04-23,88.0,89.0,86.0,88.0,186200.0
2025-04-24,88.0,88.0,87.0,87.0,102400.0
2025-04-25,88.0,88.0,85.0,86.0,148300.0
2025-04-28,86.0,91.0,85.0,86.0,3057200.0
2025-04-30,86.0,90.0,85.0,86.0,2223400.0
2025-05-01,87.0,88.0,85.0,88.0,205000.0
2025-05-02,87.0,90.0,87.0,89.0,485400.0
2025-05-07,89.0,89.0,87.0,88.0,239700.0
2025-05-08,87.0,92.0,87.0,87.0,375600.0
2025-05-09,88.0,88.0,86.0,88.0,92500.0
2025-05-12,88.0,88.0,86.0,86.0,136500.0
2025-05-13,88.0,88.0,86.0,86.0,86000.0
2025-05-14,87.0,88.0,86.0,88.0,101500.0
2025-05-15,88.0,88.0,87.0,87.0,63300.0
2025-05-16,87.0,88.0,87.0,88.0,13700.0
2025-05-19,87.0,89.0,87.0,89.0,85000.0
2025-05-20,88.0,92.0,88.0,90.0,657300.0
2025-05-21,89.0,91.0,88.0,89.0,221800.0
2025-05-22,88.0,89.0,87.0,88.0,153100.0
2025-05-23,87.0,88.0,86.0,87.0,218200.0
2025-05-26,87.0,87.0,86.0,86.0,61500.0
2025-05-27,87.0,87.0,86.0,87.0,56800.0
2025-05-28,87.0,88.0,86.0,88.0,73200.0
2025-05-29,88.0,88.0,86.0,87.0,98100.0
2025-05-30,87.0,87.0,86.0,86.0,135500.0
2025-06-02,87.0,87.0,85.0,85.0,123000.0
2025-06-03,85.0,85.0,84.0,85.0,104200.0
2025-06-04,85.0,85.0,84.0,85.0,38300.0
2025-06-05,84.0,84.0,72.0,75.0,5214000.0
2025-06-06,74.0,74.0,68.0,69.0,3650000.0
2025-06-09,68.0,68.0,62.0,63.0,3361800.0
2025-06-10,62.0,69.0,59.0,68.0,5544200.0
2025-06-11,66.0,69.0,65.0,67.0,2183800.0
2025-06-12,68.0,69.0,66.0,68.0,787700.0
2025-06-13,69.0,69.0,66.0,66.0,800100.0
2025-06-16,67.0,68.0,66.0,68.0,499700.0
2025-06-17,68.0,72.0,68.0,72.0,1921700.0
2025-06-18,71.0,73.0,69.0,70.0,1480300.0
2025-06-19,70.0,70.0,68.0,69.0,525900.0
2025-06-20,69.0,69.0,67.0,67.0,540100.0
2025-06-23,67.0,70.0,67.0,70.0,479700.0
2025-06-24,70.0,71.0,69.0,70.0,480700.0
2025-06-25,69.0,78.0,69.0,73.0,2467100.0
2025-06-26,70.0,71.0,69.0,69.0,1046400.0
2025-06-27,70.0,72.0,69.0,71.0,897700.0
2025-06-30,72.0,74.0,71.0,73.0,554400.0
2025-07-01,73.0,73.0,70.0,70.0,616800.0
2025-07-02,71.0,73.0,70.0,70.0,402200.0
2025-07-03,71.0,72.0,70.0,70.0,302700.0
2025-07-04,70.0,71.0,69.0,69.0,439800.0
2025-07-07,70.0,71.0,69.0,70.0,465300.0
2025-07-08,70.0,73.0,70.0,71.0,483800.0
2025-07-09,72.0,74.0,72.0,73.0,485400.0
2025-07-10,74.0,75.0,72.0,75.0,509000.0
2025-07-11,75.0,75.0,72.0,73.0,1150500.0
2025-07-14,74.0,77.0,73.0,75.0,941300.0
2025-07-15,76.0,78.0,75.0,75.0,791500.0
2025-07-16,75.0,76.0,74.0,74.0,327400.0
2025-07-17,76.0,77.0,74.0,74.0,484600.0
2025-07-18,75.0,80.0,75.0,77.0,1354300.0
2025-07-22,78.0,79.0,76.0,77.0,482900.0
2025-07-23,77.0,80.0,77.0,77.0,553800.0
2025-07-24,78.0,78.0,76.0,76.0,346700.0
2025-07-25,77.0,78.0,76.0,76.0,293900.0
2025-07-28,77.0,77.0,75.0,76.0,519600.0
2025-07-29,76.0,76.0,74.0,74.0,429500.0
2025-07-30,75.0,78.0,75.0,75.0,493600.0
2025-07-31,77.0,77.0,75.0,76.0,177200.0
2025-08-01,76.0,77.0,75.0,76.0,175900.0
2025-08-04,76.0,77.0,75.0,76.0,126300.0
2025-08-05,76.0,77.0,76.0,76.0,190400.0
2025-08-06,77.0,77.0,75.0,76.0,223900.0
2025-08-07,76.0,79.0,76.0,79.0,374600.0
2025-08-08,79.0,79.0,76.0,77.0,290700.0
2025-08-12,78.0,80.0,77.0,79.0,479200.0
2025-08-13,80.0,81.0,79.0,80.0,637700.0
2025-08-14,81.0,83.0,78.0,79.0,834400.0
2025-08-15,79.0,81.0,78.0,80.0,311100.0
2025-08-18,82.0,84.0,80.0,83.0,684600.0
2025-08-19,85.0,88.0,84.0,85.0,667000.0
2025-08-20,85.0,85.0,82.0,84.0,586000.0
2025-08-21,84.0,87.0,83.0,85.0,490000.0
2025-08-22,86.0,87.0,84.0,85.0,296400.0
2025-08-25,88.0,90.0,87.0,88.0,473100.0
2025-08-26,88.0,90.0,86.0,88.0,452300.0
2025-08-27,90.0,90.0,87.0,87.0,556900.0
2025-08-28,89.0,113.0,89.0,92.0,14805400.0
2025-08-29,92.0,101.0,90.0,97.0,4316600.0
2025-09-01,101.0,102.0,92.0,94.0,2027700.0
2025-09-02,97.0,104.0,96.0,102.0,2883700.0
2025-09-03,102.0,102.0,96.0,96.0,1434900.0
2025-09-04,97.0,98.0,93.0,93.0,853100.0
2025-09-05,94.0,96.0,94.0,95.0,309800.0
2025-09-08,96.0,97.0,95.0,95.0,244700.0
2025-09-09,96.0,97.0,92.0,93.0,530600.0
2025-09-10,94.0,99.0,94.0,98.0,1093500.0
2025-09-11,99.0,102.0,95.0,97.0,1430700.0
2025-09-12,97.0,100.0,96.0,96.0,431100.0
2025-09-16,97.0,97.0,96.0,96.0,185900.0
2025-09-17,97.0,97.0,94.0,95.0,478800.0
2025-09-18,94.0,95.0,93.0,93.0,247400.0
2025-09-19,94.0,94.0,92.0,93.0,296400.0
2025-09-22,95.0,96.0,93.0,95.0,455000.0
2025-09-24,96.0,96.0,92.0,92.0,748900.0
2025-09-25,92.0,92.0,86.0,86.0,1157400.0
2025-09-26,88.0,89.0,85.0,86.0,662000.0
2025-09-29,82.0,83.0,81.0,81.0,519700.0
2025-09-30,81.0,82.0,80.0,80.0,161400.0
2025-10-01,80.0,80.0,75.0,78.0,778200.0
2025-10-02,76.0,78.0,75.0,76.0,364500.0
2025-10-03,78.0,78.0,76.0,77.0,120800.0
2025-10-06,79.0,79.0,76.0,76.0,478300.0
2025-10-07,77.0,79.0,76.0,79.0,140100.0
2025-10-08,78.0,79.0,77.0,77.0,116300.0
2025-10-09,78.0,78.0,77.0,78.0,59000.0
2025-10-10,77.0,77.0,76.0,76.0,276900.0
2025-10-14,76.0,77.0,72.0,74.0,395300.0
2025-10-15,73.0,76.0,73.0,75.0,281200.0
2025-10-16,74.0,76.0,74.0,74.0,119700.0
2025-10-17,74.0,75.0,74.0,74.0,109200.0
2025-10-20,76.0,77.0,74.0,75.0,219700.0
2025-10-21,75.0,77.0,75.0,76.0,128900.0
2025-10-22,76.0,78.0,76.0,77.0,130200.0
2025-10-23,77.0,77.0,76.0,76.0,104600.0
2025-10-24,76.0,77.0,75.0,75.0,148500.0
2025-10-27,75.0,76.0,75.0,75.0,73100.0
2025-10-28,75.0,75.0,73.0,73.0,199500.0
2025-10-29,73.0,74.0,72.0,73.0,134900.0
2025-10-30,72.0,73.0,72.0,72.0,127600.0
2025-10-31,72.0,74.0,72.0,73.0,113000.0
2025-11-04,74.0,74.0,72.0,72.0,54700.0
2025-11-05,72.0,73.0,72.0,73.0,43300.0
2025-11-06,74.0,74.0,72.0,72.0,73100.0
2025-11-07,72.0,73.0,71.0,72.0,160200.0
2025-11-10,71.0,72.0,71.0,71.0,112100.0
2025-11-11,71.0,74.0,71.0,72.0,158900.0
2025-11-12,72.0,73.0,71.0,73.0,113200.0
2025-11-13,74.0,75.0,73.0,74.0,78900.0
2025-11-14,74.0,90.0,74.0,85.0,4988200.0
2025-11-17,77.0,78.0,72.0,73.0,881300.0
2025-11-18,75.0,75.0,71.0,71.0,325700.0
2025-11-19,72.0,72.0,70.0,71.0,192000.0
2025-11-20,70.0,71.0,68.0,68.0,549300.0
2025-11-21,68.0,71.0,66.0,70.0,329600.0
2025-11-25,71.0,71.0,69.0,71.0,228600.0
2025-11-26,70.0,71.0,69.0,70.0,148000.0
2025-11-27,71.0,71.0,69.0,70.0,196900.0
2025-11-28,71.0,74.0,70.0,74.0,302700.0
2025-12-01,73.0,73.0,71.0,72.0,170000.0
2025-12-02,71.0,72.0,70.0,70.0,138800.0
2025-12-03,70.0,71.0,70.0,70.0,239900.0
