date,open,high,low,close,volume
2025-03-04,326.0,331.0,325.0,331.0,3100.0
2025-03-05,326.0,333.0,326.0,332.0,2300.0
2025-03-06,329.0,333.0,328.0,333.0,1500.0
2025-03-07,331.0,334.0,329.0,329.0,1700.0
2025-03-10,332.0,356.0,332.0,341.0,13500.0
2025-03-11,339.0,341.0,334.0,335.0,28800.0
2025-03-12,337.0,337.0,332.0,335.0,3700.0
2025-03-13,335.0,338.0,333.0,335.0,5600.0
2025-03-14,336.0,336.0,333.0,334.0,3400.0
2025-03-17,334.0,336.0,332.0,333.0,11500.0
2025-03-18,334.0,337.0,334.0,334.0,2800.0
2025-03-19,337.0,342.0,334.0,334.0,6100.0
2025-03-21,337.0,337.0,334.0,335.0,7700.0
2025-03-24,334.0,336.0,331.0,334.0,3500.0
2025-03-25,338.0,338.0,331.0,332.0,4600.0
2025-03-26,332.0,332.0,330.0,330.0,2500.0
2025-03-27,330.0,330.0,326.0,327.0,5500.0
2025-03-28,327.0,327.0,325.0,327.0,900.0
2025-03-31,326.0,329.0,322.0,325.0,3100.0
2025-04-01,325.0,325.0,325.0,325.0,600.0
2025-04-02,325.0,332.0,324.0,332.0,1100.0
2025-04-03,323.0,324.0,310.0,317.0,10300.0
2025-04-04,313.0,334.0,311.0,312.0,11200.0
2025-04-07,309.0,309.0,295.0,296.0,8300.0
2025-04-08,304.0,307.0,302.0,303.0,3300.0
2025-04-09,295.0,307.0,294.0,307.0,6600.0
2025-04-10,325.0,325.0,309.0,313.0,10500.0
2025-04-11,311.0,314.0,309.0,312.0,1400.0
2025-04-14,313.0,327.0,307.0,314.0,3100.0
2025-04-15,315.0,355.0,309.0,309.0,217000.0
2025-04-16,317.0,319.0,307.0,307.0,20300.0
2025-04-17,310.0,313.0,307.0,307.0,10100.0
2025-04-18,307.0,353.0,303.0,308.0,538600.0
2025-04-21,311.0,319.0,309.0,309.0,16100.0
2025-04-22,310.0,319.0,310.0,315.0,10300.0
2025-04-23,316.0,326.0,316.0,317.0,14900.0
2025-04-24,318.0,324.0,313.0,316.0,13900.0
2025-04-25,319.0,319.0,314.0,317.0,5900.0
2025-04-28,315.0,315.0,309.0,311.0,7700.0
2025-04-30,313.0,313.0,310.0,311.0,5300.0
2025-05-01,311.0,316.0,309.0,313.0,5000.0
2025-05-02,313.0,315.0,311.0,315.0,3800.0
2025-05-07,315.0,317.0,313.0,317.0,2900.0
2025-05-08,317.0,319.0,315.0,315.0,3800.0
2025-05-09,316.0,319.0,315.0,319.0,3600.0
2025-05-12,320.0,336.0,319.0,336.0,33000.0
2025-05-13,328.0,343.0,321.0,321.0,59600.0
2025-05-14,323.0,332.0,321.0,330.0,23900.0
2025-05-15,331.0,353.0,326.0,330.0,560200.0
2025-05-16,338.0,349.0,333.0,348.0,174000.0
2025-05-19,326.0,330.0,312.0,316.0,238700.0
2025-05-20,320.0,320.0,312.0,315.0,44100.0
2025-05-21,316.0,330.0,311.0,312.0,447300.0
2025-05-22,314.0,314.0,311.0,313.0,15600.0
2025-05-23,312.0,315.0,310.0,310.0,14100.0
2025-05-26,313.0,317.0,311.0,311.0,16900.0
2025-05-27,311.0,319.0,311.0,317.0,17700.0
2025-05-28,316.0,328.0,316.0,318.0,54800.0
2025-05-29,323.0,323.0,318.0,321.0,6100.0
2025-05-30,322.0,323.0,319.0,321.0,7800.0
2025-06-02,321.0,327.0,321.0,324.0,19200.0
2025-06-03,328.0,328.0,320.0,325.0,9700.0
2025-06-04,325.0,325.0,323.0,325.0,3300.0
2025-06-05,322.0,325.0,322.0,323.0,3100.0
2025-06-06,325.0,325.0,320.0,323.0,10200.0
2025-06-09,323.0,323.0,319.0,322.0,6300.0
2025-06-10,325.0,325.0,321.0,325.0,3800.0
2025-06-11,322.0,325.0,320.0,325.0,14300.0
2025-06-12,322.0,325.0,322.0,325.0,5900.0
2025-06-13,325.0,325.0,320.0,320.0,5800.0
2025-06-16,318.0,322.0,318.0,320.0,4000.0
2025-06-17,324.0,324.0,320.0,322.0,6600.0
2025-06-18,320.0,324.0,318.0,324.0,8500.0
2025-06-19,324.0,324.0,322.0,324.0,5200.0
2025-06-20,324.0,324.0,321.0,322.0,4300.0
2025-06-23,322.0,325.0,320.0,323.0,23000.0
2025-06-24,324.0,327.0,320.0,327.0,16700.0
2025-06-25,328.0,332.0,321.0,323.0,19500.0
2025-06-26,322.0,324.0,322.0,323.0,2100.0
2025-06-27,323.0,324.0,322.0,323.0,5700.0
2025-06-30,325.0,326.0,319.0,324.0,32400.0
2025-07-01,327.0,327.0,320.0,323.0,8600.0
2025-07-02,324.0,324.0,314.0,315.0,15300.0
2025-07-03,316.0,318.0,314.0,316.0,9000.0
2025-07-04,316.0,318.0,310.0,312.0,18700.0
2025-07-07,313.0,317.0,313.0,316.0,2600.0
2025-07-08,318.0,321.0,318.0,321.0,6000.0
2025-07-09,321.0,321.0,318.0,319.0,2600.0
2025-07-10,320.0,320.0,318.0,318.0,1900.0
2025-07-11,319.0,320.0,318.0,318.0,2500.0
2025-07-14,316.0,319.0,316.0,319.0,7800.0
2025-07-15,316.0,319.0,316.0,318.0,5500.0
2025-07-16,320.0,322.0,319.0,322.0,7200.0
2025-07-17,325.0,327.0,320.0,320.0,9100.0
2025-07-18,320.0,320.0,317.0,318.0,3100.0
2025-07-22,318.0,319.0,317.0,317.0,4000.0
2025-07-23,319.0,321.0,319.0,320.0,1100.0
2025-07-24,320.0,320.0,317.0,317.0,900.0
2025-07-25,317.0,325.0,317.0,325.0,2000.0
2025-07-28,321.0,321.0,319.0,320.0,1000.0
2025-07-29,320.0,328.0,320.0,320.0,13000.0
2025-07-30,323.0,323.0,322.0,322.0,1000.0
2025-07-31,321.0,324.0,320.0,324.0,3900.0
2025-08-01,324.0,331.0,323.0,326.0,18800.0
2025-08-04,340.0,369.0,325.0,339.0,225300.0
2025-08-05,355.0,355.0,343.0,351.0,43300.0
2025-08-06,355.0,384.0,340.0,369.0,92300.0
2025-08-07,369.0,369.0,346.0,363.0,56800.0
2025-08-08,368.0,390.0,357.0,378.0,83600.0
2025-08-12,377.0,458.0,357.0,458.0,1596500.0
2025-08-13,487.0,538.0,464.0,538.0,1142300.0
2025-08-14,588.0,638.0,570.0,638.0,667500.0
2025-08-15,738.0,738.0,684.0,738.0,561500.0
2025-08-18,888.0,888.0,881.0,888.0,96900.0
2025-08-19,888.0,1000.0,738.0,795.0,2023500.0
2025-08-20,740.0,818.0,646.0,773.0,933100.0
2025-08-21,736.0,736.0,623.0,623.0,950700.0
2025-08-22,543.0,699.0,523.0,536.0,2136800.0
2025-08-25,539.0,545.0,497.0,506.0,216000.0
2025-08-26,490.0,517.0,482.0,485.0,221400.0
2025-08-27,490.0,496.0,480.0,485.0,87500.0
2025-08-28,495.0,507.0,440.0,441.0,360300.0
2025-08-29,440.0,460.0,422.0,429.0,264800.0
2025-09-01,434.0,439.0,421.0,438.0,75200.0
2025-09-02,450.0,464.0,431.0,434.0,128400.0
2025-09-03,437.0,438.0,420.0,424.0,54500.0
2025-09-04,431.0,431.0,413.0,415.0,45600.0
2025-09-05,415.0,449.0,414.0,423.0,148300.0
2025-09-08,422.0,429.0,412.0,412.0,77000.0
2025-09-09,418.0,421.0,411.0,421.0,51700.0
2025-09-10,424.0,456.0,424.0,427.0,300300.0
2025-09-11,427.0,433.0,410.0,411.0,143700.0
2025-09-12,411.0,414.0,394.0,405.0,125900.0
2025-09-16,443.0,444.0,415.0,433.0,320600.0
2025-09-17,437.0,438.0,409.0,424.0,126900.0
2025-09-18,424.0,425.0,404.0,405.0,120300.0
2025-09-19,402.0,410.0,401.0,402.0,93300.0
2025-09-22,403.0,411.0,400.0,400.0,75300.0
2025-09-24,401.0,409.0,396.0,404.0,74500.0
2025-09-25,404.0,413.0,394.0,410.0,84700.0
2025-09-26,410.0,410.0,394.0,398.0,62100.0
2025-09-29,398.0,401.0,377.0,386.0,140500.0
2025-09-30,384.0,384.0,368.0,375.0,115000.0
2025-10-01,380.0,385.0,366.0,367.0,69100.0
2025-10-02,371.0,381.0,368.0,374.0,44700.0
2025-10-03,374.0,377.0,366.0,371.0,60900.0
2025-10-06,374.0,380.0,367.0,371.0,47200.0
2025-10-07,371.0,379.0,366.0,373.0,53700.0
2025-10-08,374.0,388.0,373.0,378.0,34200.0
2025-10-09,380.0,380.0,370.0,376.0,46800.0
2025-10-10,374.0,377.0,373.0,377.0,12900.0
2025-10-14,368.0,371.0,351.0,353.0,97600.0
2025-10-15,355.0,366.0,355.0,363.0,43700.0
2025-10-16,362.0,365.0,357.0,361.0,32700.0
2025-10-17,360.0,362.0,355.0,358.0,24600.0
2025-10-20,357.0,370.0,357.0,366.0,40400.0
2025-10-21,367.0,378.0,367.0,376.0,39800.0
2025-10-22,379.0,384.0,373.0,381.0,25500.0
2025-10-23,381.0,382.0,367.0,374.0,30700.0
2025-10-24,374.0,375.0,363.0,363.0,15300.0
2025-10-27,364.0,369.0,360.0,368.0,26700.0
2025-10-28,366.0,369.0,360.0,360.0,14200.0
2025-10-29,360.0,361.0,348.0,348.0,43200.0
2025-10-30,347.0,360.0,340.0,360.0,35500.0
2025-10-31,359.0,359.0,352.0,353.0,9200.0
2025-11-04,352.0,358.0,350.0,357.0,5300.0
2025-11-05,437.0,437.0,437.0,437.0,17800.0
2025-11-06,517.0,517.0,517.0,517.0,15300.0
2025-11-07,677.0,686.0,583.0,605.0,2163400.0
2025-11-10,595.0,596.0,552.0,568.0,699600.0
2025-11-11,570.0,582.0,555.0,571.0,229400.0
2025-11-12,577.0,607.0,576.0,600.0,208000.0
2025-11-13,592.0,608.0,586.0,601.0,93600.0
2025-11-14,599.0,611.0,587.0,604.0,151500.0
2025-11-17,588.0,588.0,529.0,565.0,364100.0
2025-11-18,555.0,557.0,540.0,545.0,164900.0
2025-11-19,543.0,575.0,541.0,546.0,249500.0
2025-11-20,548.0,562.0,531.0,551.0,206300.0
2025-11-21,547.0,548.0,525.0,542.0,165400.0
2025-11-25,549.0,550.0,508.0,511.0,305000.0
2025-11-26,520.0,530.0,511.0,525.0,243600.0
2025-11-27,471.0,493.0,471.0,483.0,248500.0
2025-11-28,483.0,487.0,474.0,476.0,96500.0
2025-12-01,475.0,490.0,474.0,475.0,107800.0
2025-12-02,472.0,472.0,452.0,453.0,116300.0
2025-12-03,453.0,454.0,448.0,453.0,68000.0
2025-12-04,451.0,462.0,451.0,452.0,35300.0
2025-12-05,451.0,453.0,441.0,443.0,54600.0
2025-12-08,445.0,449.0,440.0,444.0,91600.0
2025-12-09,448.0,452.0,444.0,447.0,34700.0
2025-12-10,450.0,450.0,442.0,446.0,33200.0
2025-12-11,443.0,443.0,435.0,440.0,63600.0
2025-12-12,437.0,441.0,434.0,436.0,50600.0
2025-12-15,436.0,447.0,436.0,447.0,47300.0
2025-12-16,448.0,451.0,443.0,444.0,33000.0
2025-12-17,444.0,444.0,437.0,438.0,52000.0
2025-12-18,442.0,454.0,440.0,454.0,45300.0
2025-12-19,461.0,482.0,461.0,479.0,65900.0
2025-12-22,479.0,479.0,454.0,457.0,60000.0
2025-12-23,462.0,465.0,457.0,462.0,39700.0
2025-12-24,463.0,463.0,452.0,452.0,31000.0
2025-12-25,460.0,473.0,452.0,469.0,56600.0
2025-12-26,471.0,471.0,465.0,467.0,25100.0
2025-12-29,479.0,481.0,474.0,476.0,48600.0
2025-12-30,482.0,511.0,476.0,501.0,120600.0
2026-01-05,503.0,525.0,501.0,522.0,77700.0
2026-01-06,530.0,530.0,498.0,507.0,79800.0
2026-01-07,500.0,526.0,499.0,524.0,81900.0
2026-01-08,521.0,534.0,521.0,534.0,40000.0
2026-01-09,531.0,532.0,519.0,519.0,39300.0
2026-01-13,529.0,529.0,508.0,509.0,37500.0
