date,open,high,low,close,volume
2025-03-04,518.0,519.0,513.0,515.0,551900.0
2025-03-05,515.0,517.0,513.0,514.0,328800.0
2025-03-06,517.0,518.0,512.0,514.0,555300.0
2025-03-07,511.0,515.0,507.0,514.0,601900.0
2025-03-10,515.0,515.0,510.0,511.0,586700.0
2025-03-11,509.0,509.0,504.0,508.0,1134000.0
2025-03-12,507.0,511.0,507.0,510.0,581600.0
2025-03-13,511.0,511.0,507.0,508.0,480200.0
2025-03-14,506.0,510.0,506.0,508.0,505500.0
2025-03-17,510.0,514.0,510.0,512.0,569100.0
2025-03-18,512.0,516.0,511.0,512.0,636600.0
2025-03-19,515.0,518.0,513.0,514.0,621100.0
2025-03-21,516.0,517.0,514.0,515.0,706400.0
2025-03-24,515.0,521.0,513.0,518.0,1197300.0
2025-03-25,521.0,524.0,519.0,522.0,648100.0
2025-03-26,523.0,524.0,520.0,523.0,830900.0
2025-03-27,519.0,525.0,518.0,523.0,1510200.0
2025-03-28,499.0,510.0,499.0,509.0,1789500.0
2025-03-31,505.0,507.0,500.0,506.0,1436400.0
2025-04-01,507.0,512.0,507.0,507.0,911600.0
2025-04-02,506.0,506.0,498.0,499.0,1105000.0
2025-04-03,485.0,495.0,483.0,491.0,1235200.0
2025-04-04,483.0,484.0,467.0,476.0,1969200.0
2025-04-07,429.0,453.0,427.0,440.0,1723200.0
2025-04-08,470.0,484.0,467.0,474.0,1243100.0
2025-04-09,466.0,467.0,452.0,460.0,1327900.0
2025-04-10,485.0,485.0,477.0,479.0,1135300.0
2025-04-11,471.0,481.0,465.0,480.0,656700.0
2025-04-14,482.0,491.0,480.0,488.0,648200.0
2025-04-15,492.0,493.0,486.0,486.0,365100.0
2025-04-16,486.0,488.0,483.0,484.0,356600.0
2025-04-17,482.0,486.0,482.0,485.0,340200.0
2025-04-18,489.0,493.0,488.0,492.0,369600.0
2025-04-21,494.0,494.0,491.0,493.0,386800.0
2025-04-22,491.0,498.0,490.0,495.0,408000.0
2025-04-23,498.0,501.0,497.0,499.0,497200.0
2025-04-24,500.0,500.0,495.0,495.0,356600.0
2025-04-25,496.0,498.0,493.0,493.0,373900.0
2025-04-28,494.0,497.0,492.0,496.0,476000.0
2025-04-30,495.0,495.0,491.0,494.0,484700.0
2025-05-01,492.0,496.0,490.0,492.0,505000.0
2025-05-02,492.0,496.0,491.0,493.0,492800.0
2025-05-07,494.0,505.0,494.0,504.0,914100.0
2025-05-08,504.0,508.0,502.0,505.0,517700.0
2025-05-09,508.0,511.0,508.0,510.0,619900.0
2025-05-12,515.0,517.0,510.0,515.0,695900.0
2025-05-13,439.0,440.0,429.0,430.0,5667900.0
2025-05-14,431.0,432.0,418.0,421.0,2764300.0
2025-05-15,418.0,418.0,405.0,410.0,3072000.0
2025-05-16,410.0,413.0,404.0,406.0,1902500.0
2025-05-19,407.0,415.0,406.0,413.0,1724500.0
2025-05-20,412.0,412.0,404.0,405.0,2066000.0
2025-05-21,407.0,409.0,402.0,403.0,1631300.0
2025-05-22,400.0,401.0,395.0,399.0,1778900.0
2025-05-23,400.0,400.0,397.0,397.0,854400.0
2025-05-26,397.0,399.0,388.0,389.0,2317700.0
2025-05-27,390.0,396.0,390.0,393.0,1043400.0
2025-05-28,397.0,397.0,390.0,390.0,1344400.0
2025-05-29,391.0,394.0,390.0,392.0,996900.0
2025-05-30,391.0,392.0,388.0,390.0,1068300.0
2025-06-02,389.0,392.0,386.0,388.0,1696600.0
2025-06-03,389.0,390.0,384.0,389.0,1574000.0
2025-06-04,389.0,392.0,386.0,386.0,973800.0
2025-06-05,385.0,386.0,382.0,384.0,1570200.0
2025-06-06,383.0,386.0,382.0,384.0,1254700.0
2025-06-09,384.0,388.0,381.0,387.0,1697400.0
2025-06-10,388.0,395.0,388.0,391.0,1668200.0
2025-06-11,393.0,393.0,389.0,389.0,672900.0
2025-06-12,390.0,391.0,386.0,387.0,746400.0
2025-06-13,387.0,388.0,383.0,384.0,877600.0
2025-06-16,385.0,386.0,379.0,381.0,1508100.0
2025-06-17,386.0,386.0,382.0,386.0,1196500.0
2025-06-18,385.0,390.0,385.0,390.0,673600.0
2025-06-19,390.0,391.0,387.0,390.0,685900.0
2025-06-20,389.0,390.0,383.0,383.0,1189200.0
2025-06-23,384.0,386.0,380.0,381.0,1128300.0
2025-06-24,384.0,384.0,379.0,379.0,1629100.0
2025-06-25,381.0,381.0,378.0,379.0,897200.0
2025-06-26,379.0,380.0,376.0,378.0,1463700.0
2025-06-27,379.0,382.0,377.0,379.0,1875000.0
2025-06-30,380.0,381.0,375.0,376.0,1796200.0
