date,open,high,low,close,volume
2025-03-04,237.0,237.0,236.0,236.0,8300.0
2025-03-05,235.0,237.0,235.0,236.0,12000.0
2025-03-06,236.0,238.0,236.0,237.0,13700.0
2025-03-07,237.0,237.0,235.0,236.0,6600.0
2025-03-10,238.0,238.0,236.0,236.0,2600.0
2025-03-11,235.0,236.0,235.0,235.0,10900.0
2025-03-12,237.0,237.0,235.0,236.0,3800.0
2025-03-13,236.0,236.0,234.0,235.0,18500.0
2025-03-14,233.0,236.0,233.0,235.0,13500.0
2025-03-17,243.0,248.0,237.0,238.0,263700.0
2025-03-18,236.0,238.0,235.0,236.0,19700.0
2025-03-19,237.0,238.0,236.0,237.0,6400.0
2025-03-21,238.0,241.0,237.0,239.0,15000.0
2025-03-24,240.0,240.0,237.0,238.0,6700.0
2025-03-25,239.0,239.0,237.0,238.0,7800.0
2025-03-26,238.0,240.0,237.0,239.0,11000.0
2025-03-27,239.0,240.0,237.0,239.0,14200.0
2025-03-28,238.0,239.0,237.0,237.0,12000.0
2025-03-31,237.0,238.0,236.0,237.0,24400.0
2025-04-01,238.0,239.0,235.0,238.0,35300.0
2025-04-02,237.0,239.0,236.0,237.0,18300.0
2025-04-03,235.0,237.0,218.0,223.0,124000.0
2025-04-04,215.0,219.0,202.0,207.0,91700.0
2025-04-07,195.0,196.0,181.0,188.0,93700.0
2025-04-08,196.0,227.0,192.0,206.0,1281500.0
2025-04-09,205.0,205.0,193.0,194.0,42700.0
2025-04-10,212.0,238.0,201.0,223.0,1013000.0
2025-04-11,221.0,221.0,212.0,215.0,48800.0
2025-04-14,219.0,243.0,214.0,225.0,530800.0
2025-04-15,231.0,241.0,219.0,221.0,599700.0
2025-04-16,228.0,228.0,220.0,221.0,71200.0
2025-04-17,221.0,221.0,218.0,218.0,23300.0
2025-04-18,218.0,219.0,216.0,219.0,12800.0
2025-04-21,218.0,226.0,211.0,216.0,405600.0
2025-04-22,215.0,218.0,214.0,217.0,24700.0
2025-04-23,220.0,222.0,218.0,222.0,21000.0
2025-04-24,223.0,226.0,219.0,225.0,34600.0
2025-04-25,227.0,227.0,222.0,222.0,9600.0
2025-04-28,226.0,226.0,222.0,224.0,9700.0
2025-04-30,224.0,224.0,221.0,224.0,14400.0
2025-05-01,225.0,225.0,222.0,224.0,10900.0
2025-05-02,224.0,225.0,222.0,222.0,3900.0
2025-05-07,221.0,226.0,221.0,223.0,31900.0
2025-05-08,226.0,240.0,223.0,237.0,601400.0
2025-05-09,240.0,240.0,234.0,239.0,35600.0
2025-05-12,229.0,253.0,225.0,229.0,965000.0
2025-05-13,232.0,233.0,229.0,231.0,28600.0
2025-05-14,230.0,239.0,229.0,229.0,70600.0
2025-05-15,233.0,242.0,229.0,240.0,237000.0
2025-05-16,240.0,240.0,236.0,237.0,10000.0
2025-05-19,245.0,247.0,238.0,242.0,58700.0
2025-05-20,241.0,246.0,241.0,241.0,18900.0
2025-05-21,242.0,245.0,241.0,242.0,10600.0
2025-05-22,241.0,242.0,239.0,240.0,8000.0
2025-05-23,242.0,245.0,238.0,241.0,11100.0
2025-05-26,241.0,246.0,239.0,239.0,19400.0
2025-05-27,240.0,243.0,238.0,239.0,14600.0
2025-05-28,244.0,244.0,240.0,240.0,23800.0
2025-05-29,243.0,245.0,235.0,236.0,103500.0
2025-05-30,237.0,242.0,236.0,242.0,19400.0
2025-06-02,244.0,244.0,238.0,238.0,12500.0
2025-06-03,239.0,246.0,239.0,241.0,24100.0
2025-06-04,244.0,246.0,240.0,243.0,39500.0
2025-06-05,244.0,247.0,238.0,238.0,58600.0
2025-06-06,239.0,243.0,238.0,243.0,9800.0
2025-06-09,244.0,244.0,237.0,237.0,14000.0
2025-06-10,240.0,240.0,237.0,237.0,6700.0
2025-06-11,237.0,241.0,237.0,239.0,5800.0
2025-06-12,238.0,238.0,236.0,238.0,8600.0
2025-06-13,238.0,238.0,234.0,236.0,8100.0
2025-06-16,236.0,238.0,232.0,235.0,29000.0
2025-06-17,235.0,238.0,234.0,234.0,8100.0
2025-06-18,234.0,236.0,233.0,235.0,17800.0
2025-06-19,234.0,235.0,234.0,235.0,7100.0
2025-06-20,235.0,236.0,233.0,233.0,4800.0
2025-06-23,232.0,252.0,232.0,235.0,167500.0
2025-06-24,238.0,238.0,233.0,233.0,15600.0
2025-06-25,234.0,234.0,232.0,234.0,4900.0
2025-06-26,233.0,234.0,231.0,232.0,11800.0
2025-06-27,232.0,234.0,231.0,232.0,17800.0
2025-06-30,231.0,262.0,229.0,262.0,200900.0
2025-07-01,260.0,325.0,241.0,255.0,3305800.0
2025-07-02,248.0,284.0,247.0,263.0,1064300.0
2025-07-03,262.0,262.0,254.0,258.0,89500.0
2025-07-04,254.0,255.0,230.0,243.0,434300.0
2025-07-07,242.0,243.0,235.0,237.0,67300.0
2025-07-08,236.0,246.0,236.0,245.0,58700.0
2025-07-09,244.0,246.0,242.0,243.0,26400.0
2025-07-10,245.0,245.0,241.0,242.0,12700.0
2025-07-11,241.0,243.0,241.0,241.0,10800.0
2025-07-14,241.0,242.0,240.0,242.0,9000.0
2025-07-15,243.0,243.0,238.0,238.0,14500.0
2025-07-16,239.0,239.0,236.0,237.0,14700.0
2025-07-17,236.0,237.0,235.0,236.0,19000.0
2025-07-18,236.0,236.0,234.0,236.0,11300.0
2025-07-22,235.0,239.0,234.0,238.0,37100.0
2025-07-23,237.0,243.0,237.0,240.0,14400.0
2025-07-24,243.0,246.0,239.0,242.0,41800.0
2025-07-25,240.0,243.0,240.0,243.0,9600.0
2025-07-28,242.0,245.0,241.0,245.0,14900.0
2025-07-29,246.0,247.0,243.0,244.0,11600.0
2025-07-30,243.0,243.0,241.0,243.0,21700.0
2025-07-31,243.0,245.0,242.0,245.0,14300.0
2025-08-01,248.0,249.0,247.0,248.0,19500.0
2025-08-04,247.0,249.0,243.0,248.0,13200.0
2025-08-05,248.0,248.0,246.0,247.0,7300.0
2025-08-06,248.0,248.0,245.0,245.0,9000.0
2025-08-07,246.0,246.0,229.0,241.0,51900.0
2025-08-08,240.0,242.0,239.0,240.0,19400.0
2025-08-12,239.0,242.0,239.0,239.0,13200.0
2025-08-13,239.0,239.0,237.0,237.0,13200.0
2025-08-14,238.0,239.0,236.0,236.0,13300.0
2025-08-15,237.0,244.0,237.0,243.0,38800.0
2025-08-18,243.0,247.0,242.0,246.0,19400.0
2025-08-19,246.0,247.0,244.0,245.0,20800.0
2025-08-20,243.0,247.0,242.0,247.0,19400.0
2025-08-21,246.0,248.0,246.0,247.0,5200.0
2025-08-22,247.0,249.0,247.0,249.0,11000.0
2025-08-25,249.0,249.0,245.0,248.0,15700.0
2025-08-26,246.0,248.0,244.0,246.0,12500.0
2025-08-27,246.0,248.0,245.0,248.0,6500.0
2025-08-28,246.0,249.0,246.0,248.0,8500.0
2025-08-29,248.0,249.0,245.0,248.0,23000.0
2025-09-01,248.0,249.0,247.0,248.0,10900.0
2025-09-02,246.0,248.0,243.0,244.0,14000.0
2025-09-03,243.0,249.0,243.0,244.0,623200.0
2025-09-04,246.0,249.0,244.0,249.0,19300.0
2025-09-05,248.0,254.0,248.0,251.0,39800.0
